City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Rawson,AR,2021-05-29 22:12:45,-43.3002,-65.1023,45.03,41,8,11.56
89,Nishihara,JP,2021-05-29 22:12:45,26.1842,127.7558,69.08,94,75,17.98
90,Severo-Kurilsk,RU,2021-05-29 22:12:45,50.6789,156.125,41.43,89,100,9.42
91,Yaan,NG,2021-05-29 22:12:46,7.3833,8.5667,80.82,72,58,6.91
92,Sao Sebastiao Do Paraiso,BR,2021-05-29 22:12:46,-20.9169,-46.9914,67.82,61,100,1.79
93,Vostok,RU,2021-05-29 22:12:46,46.4856,135.8833,44.44,86,100,2.21
94,Thompson,CA,2021-05-29 22:08:01,55.7435,-97.8558,50.31,83,100,10.54
95,Hermanus,ZA,2021-05-29 22:12:47,-34.4187,19.2345,56.89,82,56,5.91
96,Sisimiut,GL,2021-05-29 22:12:47,66.9395,-53.6735,46.58,46,41,13.09
97,High Level,CA,2021-05-29 22:12:48,58.5169,-117.136,69.57,23,100,9.75
98,Cockburn Town,TC,2021-05-29 22:12:48,21.4612,-71.1419,82.36,69,40,11.5
99,Upernavik,GL,2021-05-29 22:12:48,72.7868,-56.1549,31.41,93,100,16.69
100,Tuatapere,NZ,2021-05-29 22:12:48,-46.1333,167.6833,49.82,92,100,8.93
101,Hilo,US,2021-05-29 22:12:49,19.7297,-155.09,82.13,73,20,14.97
102,Mahina,PF,2021-05-29 22:12:49,-17.5065,-149.489,83.97,70,20,14.61
103,Cumanayagua,CU,2021-05-29 22:12:49,22.1494,-80.2022,83.95,54,59,4.74
104,Najran,SA,2021-05-29 22:12:50,17.4924,44.1277,79.79,18,18,4.05
105,Nikolskoye,RU,2021-05-29 22:12:50,59.7035,30.7861,48.09,78,3,4.38
106,Mehamn,NO,2021-05-29 22:12:50,71.0357,27.8492,40.93,93,100,21.41
107,Kodiak,US,2021-05-29 22:09:10,57.79,-152.4072,47.71,87,90,9.22
108,Narsaq,GL,2021-05-29 22:12:51,60.9167,-46.05,43.02,85,100,4.94
109,Manaure,CO,2021-05-29 22:12:51,11.7751,-72.4445,87.13,56,97,12.44
110,Ziro,IN,2021-05-29 22:12:52,27.6333,93.8333,55.63,97,43,0.72
111,Cabo San Lucas,MX,2021-05-29 22:12:52,22.8909,-109.9124,102.51,20,1,12.66
112,Fraserburgh,GB,2021-05-29 22:12:52,57.6874,-2.0184,54.12,84,17,8.52
113,Fortuna,US,2021-05-29 22:12:53,40.5982,-124.1573,80.19,84,40,13.8
114,Carballo,ES,2021-05-29 22:12:53,43.213,-8.691,60.01,90,100,7.99
115,Touros,BR,2021-05-29 22:12:53,-5.1989,-35.4608,79.7,79,7,13.8
116,Neiafu,TO,2021-05-29 22:12:54,-18.65,-173.9833,81.28,89,75,2.3
117,Santa Cruz,BO,2021-05-29 22:10:57,-17.8,-63.1667,79.29,55,100,7.0
118,Mar Del Plata,AR,2021-05-29 22:08:30,-38.0023,-57.5575,47.08,60,40,14.0
119,Airai,TL,2021-05-29 22:12:54,-8.9266,125.4092,54.93,89,46,1.97
120,Shitanjing,CN,2021-05-29 22:12:55,39.2342,106.3439,63.7,31,62,3.2
121,Olinda,BR,2021-05-29 22:12:16,-8.0089,-34.8553,76.73,73,40,11.48
122,Ayolas,PY,2021-05-29 22:12:55,-27.4,-56.9,58.42,64,11,6.33
123,Cayenne,GF,2021-05-29 22:12:56,4.9333,-52.3333,80.64,87,40,1.99
124,Solok,ID,2021-05-29 22:12:56,-0.7918,100.6593,70.18,84,93,1.99
125,Pevek,RU,2021-05-29 22:12:15,69.7008,170.3133,42.31,55,0,11.14
126,Snina,SK,2021-05-29 22:12:56,48.9886,22.151,50.11,85,100,3.33
127,Acapulco,MX,2021-05-29 22:12:50,16.8634,-99.8901,89.42,62,90,9.22
128,Saint-Philippe,RE,2021-05-29 22:12:57,-21.3585,55.7679,69.35,81,16,5.14
129,Saint Anthony,US,2021-05-29 22:12:57,45.0205,-93.218,67.08,37,1,3.0
130,Pisco,PE,2021-05-29 22:10:56,-13.7,-76.2167,65.01,94,90,5.75
131,Zlitan,LY,2021-05-29 22:12:58,32.4674,14.5687,69.67,81,86,7.38
132,Rincon,US,2021-05-29 22:12:58,32.296,-81.2354,89.78,49,40,4.12
133,Lavrentiya,RU,2021-05-29 22:12:59,65.5833,-171.0,33.71,82,6,7.65
134,Ambo,PE,2021-05-29 22:12:59,-10.1308,-76.2047,69.21,71,29,8.41
