City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Yumen,CN,40.2833,97.2,69.84,10,0,6.38,clear sky
213,Ozinki,RU,51.1786,49.6769,69.51,73,51,6.4,broken clouds
214,Clarksburg,US,39.2807,-80.3445,54.09,96,90,2.77,overcast clouds
215,Sterling,US,39.0062,-77.4286,52.25,92,90,3.31,overcast clouds
216,Shelburne,CA,44.0787,-80.2041,48.76,65,17,4.59,few clouds
217,Junin,AR,-34.5838,-60.9433,45.99,60,51,10.69,broken clouds
218,Kavieng,PG,-2.5744,150.7967,83.08,77,95,11.36,moderate rain
219,Luderitz,NA,-26.6481,15.1594,55.45,64,0,17.22,clear sky
220,Aborlan,PH,9.4352,118.5492,89.67,67,93,6.22,overcast clouds
221,Alice Springs,AU,-23.7,133.8833,74.75,21,56,11.99,broken clouds
222,Yuxia,CN,34.0615,108.6291,86.61,29,23,6.89,few clouds
223,Sao Filipe,CV,14.8961,-24.4956,71.56,83,74,6.29,broken clouds
224,Mpraeso,GH,6.5932,-0.7346,71.01,97,94,3.65,overcast clouds
225,Portree,GB,57.4129,-6.1942,56.52,60,3,6.78,clear sky
226,Lupiro,TZ,-8.3833,36.6667,62.49,83,44,2.73,scattered clouds
227,Pedregulho,BR,-20.2569,-47.4767,66.67,60,100,2.26,overcast clouds
228,Karatuzskoye,RU,53.6072,92.8667,55.22,56,37,4.09,scattered clouds
229,Soe,ID,-9.8607,124.284,78.19,58,98,4.38,overcast clouds
230,Namatanai,PG,-3.6667,152.4333,83.52,75,99,7.38,moderate rain
231,Beringovskiy,RU,63.05,179.3167,39.43,70,27,13.09,scattered clouds
232,Georgiyevka,KZ,43.0369,74.7114,77.04,44,0,5.86,clear sky
233,Lompoc,US,34.6391,-120.4579,62.74,93,90,5.57,overcast clouds
234,Mundo Nuevo,MX,18.7,-95.5,82.35,82,2,11.5,clear sky
235,Saint George,US,37.1041,-113.5841,86.59,12,1,4,clear sky
236,Yaan,NG,7.3833,8.5667,75.79,90,100,5.59,overcast clouds
237,Barra,BR,-11.0894,-43.1417,70.84,63,30,5.26,scattered clouds
238,Manokwari,ID,-0.8667,134.0833,84,75,90,11.41,overcast clouds
239,Chabahar,IR,25.2919,60.643,89.02,62,3,7.34,clear sky
240,Omboue,GA,-1.5746,9.2618,75.54,91,94,6.26,overcast clouds
241,Kapuskasing,CA,49.4169,-82.4331,57.29,30,75,5.75,broken clouds
242,Barabinsk,RU,55.3571,78.357,72.9,44,23,16.96,few clouds
243,Chuy,UY,-33.6971,-53.4616,41.45,79,5,6.78,clear sky
244,Kavaratti,IN,10.5669,72.642,82.98,77,100,19.48,overcast clouds
245,Chunhuhub,MX,19.55,-88.6833,73.76,89,6,3.02,clear sky
246,Namie,JP,37.4833,141,77.72,64,0,7.18,clear sky
247,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,85,100,5.32,overcast clouds
248,Mombetsu,JP,44.3525,143.3525,46.42,76,75,17.27,broken clouds
249,Tupancireta,BR,-29.0806,-53.8358,40.69,60,0,4.54,clear sky
250,Arklow,IE,52.7931,-6.1414,54,84,0,0.58,clear sky
251,Chokurdakh,RU,70.6333,147.9167,68.13,21,6,12.77,clear sky
252,Tianpeng,CN,30.9866,103.9393,84.63,41,66,5.23,broken clouds
253,Fuerte,PH,17.5381,120.3644,88.7,65,72,7.63,broken clouds
254,Bilibino,RU,68.0546,166.4372,62.22,24,16,2.86,few clouds
255,Bubaque,GW,11.2833,-15.8333,77.14,78,88,9.62,overcast clouds
256,Havelock,US,34.8791,-76.9013,60.8,88,90,3,overcast clouds
257,Nuuk,GL,64.1835,-51.7216,34.83,86,98,11.41,overcast clouds
